300, 225
319, 205
312, 212
298, 212
317, 225
326, 205
329, 220
348, 206
345, 192
354, 200
347, 200
346, 207
363, 200
366, 219
361, 214
354, 199
334, 203
351, 203
350, 197
369, 184
380, 173
371, 191
376, 182
370, 165
374, 168
390, 186
403, 204
386, 221
376, 233
372, 251
369, 259
378, 269
388, 250
398, 237
396, 217
389, 208
406, 214
394, 224
374, 242
354, 262
341, 280
338, 279
346, 276
331, 268
344, 251
357, 246
342, 245
360, 265
347, 252
338, 270
334, 261
325, 255
316, 262
308, 279
306, 295
303, 309
314, 320
295, 316
287, 303
286, 297
266, 315
276, 326
278, 334
292, 346
290, 330
302, 330
310, 347
317, 352
330, 348
326, 349
317, 339
299, 326
280, 342
295, 352
310, 333
319, 335
309, 316
326, 310
322, 316
323, 298
319, 294
312, 299
292, 302
294, 296
279, 287
296, 304
295, 317
308, 333
315, 353
315, 346
323, 345
309, 348
309, 351
305, 358
310, 346
294, 351
300, 347
298, 362
307, 356
320, 339
328, 349
332, 351
338, 345
333, 329
320, 338
337, 341
324, 344
311, 357
326, 352
336, 346
339, 344
322, 349
320, 332
316, 328
311, 316
330, 322
310, 316
329, 306
329, 303
313, 283
296, 266
285, 259
275, 248
277, 268
282, 279
272, 266
257, 265
240, 277
251, 288
237, 282
248, 285
266, 304
276, 308
289, 288
271, 286
270, 282
259, 272
278, 271
270, 284
277, 280
267, 261
271, 264
270, 258
268, 278
263, 270
279, 266
269, 254
267, 269
262, 284
271, 280
268, 266
254, 246
256, 257
274, 267
270, 287
273, 283
263, 289
257, 300
250, 299
262, 318
275, 311
263, 314
269, 329
262, 331
255, 324
246, 311
240, 310
243, 294
238, 292
246, 300
263, 312
244, 321
252, 338
247, 352
263, 337
250, 319
266, 329
265, 332
272, 316
268, 314
274, 298
263, 302
282, 286
265, 277
248, 284
229, 274
224, 289
224, 270
219, 257
206, 251
195, 261
182, 273
162, 287
160, 276
180, 280
187, 264
197, 281
199, 280
184, 273
184, 260
190, 241
181, 227
188, 223
207, 230
198, 242
200, 235
207, 231
191, 212
186, 213
184, 225
179, 234
195, 219
208, 199
209, 180
203, 170
194, 186
174, 200
171, 188
177, 169
190, 154
189, 156
170, 162
158, 159
160, 140
161, 138
146, 156
154, 173
156, 156
146, 147
155, 148
171, 144
166, 148
147, 131
150, 123
132, 134
120, 149
115, 152
114, 160
110, 162
91, 159
86, 150
72, 156
87, 154
95, 173
94, 155
104, 173
109, 186
103, 191
103, 210
87, 192
93, 172
85, 156
100, 153
84, 165
80, 171
87, 158
97, 159
108, 176
114, 156
113, 145
105, 164
111, 167
113, 158
124, 151
124, 149
136, 146
153, 143
142, 144
147, 159
150, 150
155, 164
157, 178
177, 190
188, 202
196, 183
196, 199
183, 217
184, 197
189, 199
171, 212
180, 203
188, 184
180, 204
193, 193
176, 212
189, 219
176, 199
156, 185
142, 191
157, 182
171, 164
156, 162
172, 177
155, 177
160, 192
172, 198
172, 183
170, 187
170, 171
161, 153
144, 147
150, 167
163, 185
165, 177
158, 157
139, 158
137, 176
119, 189
123, 193
133, 185
140, 171
146, 163
155, 176
170, 176
188, 195
174, 186
164, 187
155, 194
157, 182
168, 186
177, 170
190, 179
179, 168
187, 168
199, 160
184, 140
187, 145
194, 131
187, 116
197, 118
182, 116
186, 131
191, 138
202, 145
214, 142
212, 162
207, 166
209, 185
210, 172
199, 167
186, 158
202, 174
214, 190
232, 180
220, 197
230, 197
241, 216
231, 226
230, 213
244, 210
236, 218
256, 209
239, 212
251, 226
251, 246
245, 229
257, 215
265, 232
261, 226
243, 239
228, 232
237, 238
249, 231
235, 240
249, 258
238, 269
234, 259
236, 271
220, 276
200, 286
191, 276
192, 256
178, 253
195, 262
198, 243
214, 224
223, 207
243, 196
223, 193
213, 173
232, 185
247, 187
267, 190
286, 210
297, 196
305, 188
295, 191
302, 191
314, 208
329, 217
346, 197
351, 183
336, 193
342, 182
360, 196
368, 190
372, 186
355, 186
343, 177
357, 163
362, 181
357, 198
374, 182
371, 178
351, 175
361, 158
365, 155
352, 168
360, 151
380, 133
392, 113
401, 115
410, 122
422, 134
441, 145
441, 145
457, 130
453, 143
434, 152
435, 145
447, 131
459, 127
467, 121
472, 139
487, 152
491, 138
506, 134
492, 137
479, 126
480, 131
466, 129
469, 149
480, 137
465, 143
446, 131
438, 120
430, 123
448, 128
468, 143
452, 160
456, 140
473, 128
474, 144
475, 152
485, 155
499, 149
511, 152
524, 157
518, 161
517, 144
537, 124
519, 111
538, 123
557, 116
559, 126
567, 136
574, 143
591, 143
596, 158
599, 143
599, 142
599, 150
599, 133
599, 139
594, 131
599, 145
598, 132
583, 125
590, 114
584, 118
591, 114
588, 113
580, 115
592, 117
579, 136
561, 118
580, 101
562, 102
561, 110
542, 129
536, 144
520, 155
536, 143
555, 156
543, 159
559, 139
569, 146
558, 161
575, 161
585, 168
599, 169
591, 152
592, 136
573, 137
588, 156
597, 141
599, 144
599, 144
599, 139
588, 132
587, 113
595, 112
578, 128
576, 127
